806,2016-11-23,241,130,133
809,2016-11-23,3835,988,1047
810,2016-11-23,0,0,0
811,2016-11-23,1190,853,893
812,2016-11-23,334,170,175
813,2016-11-23,0,0,0
814,2016-11-23,0,0,0
815,2016-11-23,0,0,0
816,2016-11-23,1088,345,364
817,2016-11-23,2852,852,897
818,2016-11-23,467,211,219
819,2016-11-23,0,0,0
820,2016-11-23,0,0,0
821,2016-11-23,398,342,351
822,2016-11-23,0,2,2
823,2016-11-23,0,0,0
824,2016-11-23,6,5,5
825,2016-11-23,1424,362,387
827,2016-11-23,1156,384,402
829,2016-11-23,41,31,31
830,2016-11-23,26,35,35
831,2016-11-23,2486,514,540
832,2016-11-23,1487,616,652
833,2016-11-23,723,223,234
834,2016-11-23,0,0,0
835,2016-11-23,2205,765,819
836,2016-11-23,40,60,65
837,2016-11-23,3133,996,1076
838,2016-11-23,0,1,1
839,2016-11-23,62,29,34
840,2016-11-23,15251,3541,3972
841,2016-11-23,1434,473,493
842,2016-11-23,2516,985,1089
843,2016-11-23,369,204,209
844,2016-11-23,25395,4120,4474
846,2016-11-23,1379,243,256
847,2016-11-23,1918,479,499
848,2016-11-23,0,0,0
849,2016-11-23,703,307,321
850,2016-11-23,6365,1040,1122
851,2016-11-23,1226,425,441
852,2016-11-23,51908,6708,7740
853,2016-11-23,1208,328,337
855,2016-11-23,14583,4288,4923
857,2016-11-23,1812,543,572
858,2016-11-23,6145,1798,1959
859,2016-11-23,4735,891,922
860,2016-11-23,179,132,139
861,2016-11-23,0,0,0
862,2016-11-23,37240,6564,7346
863,2016-11-23,1284,460,489
864,2016-11-23,0,0,0
865,2016-11-23,5,7,7
866,2016-11-23,0,0,0
867,2016-11-23,290,88,88
869,2016-11-23,0,0,0
870,2016-11-23,1903,678,735
872,2016-11-23,0,0,0
873,2016-11-23,2,3,3
875,2016-11-23,10561,2313,2499
876,2016-11-23,87,83,85
877,2016-11-23,448,199,202
878,2016-11-23,105,76,88
879,2016-11-23,749,244,251
880,2016-11-23,11,14,14
881,2016-11-23,99,88,93
882,2016-11-23,1763,634,685
884,2016-11-23,13,12,13
885,2016-11-23,538,174,182
894,2016-11-23,27,8,8
895,2016-11-23,0,2,2
896,2016-11-23,33,18,19
897,2016-11-23,84863,12829,14529
898,2016-11-23,1225,414,456
899,2016-11-23,1149,211,216
900,2016-11-23,19138,3329,3563
